channel_group,channel_group_token,band,band_token,feature_scope,test_family,top_state,top_state_token,top_state_target,top_state_delta_r2,top_state_p,top_state_q,top_term,effect_sign,n_obs,significant_states,n_significant_states,state_selectivity_delta_r2,global_target,global_delta_r2,global_q,interpretation
ILA,ila,delta,delta,whole_slice_norm,behavior_all,Wake,wake,state_wake_ila_delta_whole_slice_norm,0.0614244820189892,0.07592407592407592,0.47499670141179573,rule_reversal_frequency,negative,526,,0,-0.002033679629610319,lfp_ila_delta_whole_slice_norm,0.040188767238070855,0.47499670141179573,no_clear_state_specific_modulation
ACAd,acad,theta,theta,whole_slice_norm,learning_stage_block,NREM,nrem,state_nrem_acad_theta_whole_slice_norm,0.019471558841031467,0.07692307692307693,0.47499670141179573,perf_learned,negative,468,,0,-0.01738641162859078,lfp_acad_theta_whole_slice_norm,0.02309220857033678,0.5897550725136932,no_clear_state_specific_modulation
MOs,mos,delta,delta,whole_slice_norm,bias_block,Working,working,state_working_mos_delta_whole_slice_norm,0.04178964350287251,0.08291708291708291,0.47499670141179573,bias_left,positive,204,,0,0.024944365440304206,lfp_mos_delta_whole_slice_norm,0.004704533423714574,0.6386890420503866,no_clear_state_specific_modulation
ILA,ila,gamma,gamma,whole_slice_norm,behavior_all,Wake,wake,state_wake_ila_gamma_whole_slice_norm,0.09347157283088725,0.0899100899100899,0.47499670141179573,rule_reversal_frequency,negative,526,,0,-0.0028411149203112496,lfp_ila_gamma_whole_slice_norm,0.04825828360144946,0.693483731458415,no_clear_state_specific_modulation
PL,pl,delta,delta,whole_slice_norm,learning_stage_block,Working,working,state_working_pl_delta_whole_slice_norm,0.0449258332331578,0.0899100899100899,0.47499670141179573,perf_learned,negative,204,,0,0.022463530208301385,lfp_pl_delta_whole_slice_norm,0.00039892153538423347,0.9519594329720912,no_clear_state_specific_modulation
ACAd,acad,gamma,gamma,whole_slice_norm,behavior_all,REM,rem,state_rem_acad_gamma_whole_slice_norm,0.1166202708951869,0.1028971028971029,0.47499670141179573,bias_left,negative,350,,0,0.05005217144015839,lfp_acad_gamma_whole_slice_norm,0.0501643725690859,0.6922878446057255,no_clear_state_specific_modulation
ACAd,acad,theta,theta,whole_slice_norm,behavior_all,Wake,wake,state_wake_acad_theta_whole_slice_norm,0.07908321715117472,0.1028971028971029,0.47499670141179573,rule_reversal_frequency,negative,526,,0,0.039740035290774856,lfp_acad_theta_whole_slice_norm,0.0467817133987819,0.6080517420723607,no_clear_state_specific_modulation
ILA,ila,delta,delta,whole_slice_norm,bias_block,Working,working,state_working_ila_delta_whole_slice_norm,0.044906606287974604,0.1038961038961039,0.47499670141179573,bias_left,positive,204,,0,0.02821493501123251,lfp_ila_delta_whole_slice_norm,0.018031441631991774,0.4827172827172827,no_clear_state_specific_modulation
PL,pl,gamma,gamma,whole_slice_norm,bias_block,REM,rem,state_rem_pl_gamma_whole_slice_norm,0.057693593907391816,0.1108891108891109,0.4827172827172827,bias_left,negative,350,,0,0.020587677491553547,lfp_pl_gamma_whole_slice_norm,0.04266760718141083,0.4827172827172827,no_clear_state_specific_modulation
ACAd,acad,theta,theta,whole_slice_norm,bias_block,REM,rem,state_rem_acad_theta_whole_slice_norm,0.02136194702273131,0.1258741258741259,0.4827172827172827,bias_left,negative,350,,0,0.004306644830235129,lfp_acad_theta_whole_slice_norm,0.0121725958987563,0.6576280861995147,no_clear_state_specific_modulation
