hour_index,lfp_hour_valid,time_s,epoch_ms,iso_time,elapsed_day,day_index,zt_hour,circadian_sin,circadian_cos,is_dark,rule_code,rule_label,perf_pct,perf_state_code,perf_state_label,bias_score,bias_state_code,bias_state_label,trial_count,valid_perf_count,choice_count,behavior_fill_source,rule_frequency,rule_reversal_frequency,perf_intermediate,perf_learned,bias_left,bias_right,occ_wake,occ_miniwake,occ_nrem,occ_rem,occ_working,lfp_mos_delta_norm,lfp_mos_theta_norm,lfp_mos_gamma_norm,lfp_acad_delta_norm,lfp_acad_theta_norm,lfp_acad_gamma_norm,lfp_pl_delta_norm,lfp_pl_theta_norm,lfp_pl_gamma_norm,lfp_ila_delta_norm,lfp_ila_theta_norm,lfp_ila_gamma_norm,state_wake_mos_delta_norm,state_wake_mos_theta_norm,state_wake_mos_gamma_norm,state_wake_acad_delta_norm,state_wake_acad_theta_norm,state_wake_acad_gamma_norm,state_wake_pl_delta_norm,state_wake_pl_theta_norm,state_wake_pl_gamma_norm,state_wake_ila_delta_norm,state_wake_ila_theta_norm,state_wake_ila_gamma_norm,state_miniwake_mos_delta_norm,state_miniwake_mos_theta_norm,state_miniwake_mos_gamma_norm,state_miniwake_acad_delta_norm,state_miniwake_acad_theta_norm,state_miniwake_acad_gamma_norm,state_miniwake_pl_delta_norm,state_miniwake_pl_theta_norm,state_miniwake_pl_gamma_norm,state_miniwake_ila_delta_norm,state_miniwake_ila_theta_norm,state_miniwake_ila_gamma_norm,state_nrem_mos_delta_norm,state_nrem_mos_theta_norm,state_nrem_mos_gamma_norm,state_nrem_acad_delta_norm,state_nrem_acad_theta_norm,state_nrem_acad_gamma_norm,state_nrem_pl_delta_norm,state_nrem_pl_theta_norm,state_nrem_pl_gamma_norm,state_nrem_ila_delta_norm,state_nrem_ila_theta_norm,state_nrem_ila_gamma_norm,state_rem_mos_delta_norm,state_rem_mos_theta_norm,state_rem_mos_gamma_norm,state_rem_acad_delta_norm,state_rem_acad_theta_norm,state_rem_acad_gamma_norm,state_rem_pl_delta_norm,state_rem_pl_theta_norm,state_rem_pl_gamma_norm,state_rem_ila_delta_norm,state_rem_ila_theta_norm,state_rem_ila_gamma_norm
0,1,1800.0,1776702600000.0,2026-04-21T00:30:00+08:00,0.020833333333333332,0,0.5,0.13052619222005157,0.9914448613738104,1,0,location_rule,64.21366882324219,1,intermediate,0.09846454113721848,1,neutral,59,56,56,1,0,0,1,0,0,0,0.47740113735198975,0.0028248587623238564,0.4237288236618042,0.008474576286971569,0.08757062256336212,1.5650714635849,1.2673766613006592,1.436210036277771,1.7742538054784138,1.7240775028864543,1.688496967156728,2.0335174083709715,2.446408414840698,1.1071865797042846,1.7200580437978108,1.7951663335164387,0.9463606476783752,1.2595853805541992,1.5118895769119263,1.822759985923767,2.0719537933667502,2.4457399249076843,2.1186625162760415,2.4697195529937743,3.12471284866333,1.4570554494857788,2.048112471898397,2.3317968050638833,1.2589078346888225,1.42108154296875,1.0621391534805298,1.0631409883499146,1.5055469870567322,1.1572563846906025,1.018181065718333,1.213511848449707,0.9845967173576355,0.6788416504859924,1.4363034963607788,1.2227506637573242,0.5267554620901743,2.1099982261657715,1.7887755632400513,1.0671082735061646,1.9254051844278972,1.7518269618352253,1.4697047869364421,1.1629226207733154,1.1066819190979005,1.2025626182556153,1.967597206433614,1.9216818809509277,0.7848601142565409,1.486393690109253,1.042371392250061,0.8948628902435303,0.7054119010766348,1.1798000236352284,0.9144786993662516,0.2944907546043396,0.7586796641349792,0.9040488362312317,0.6390955646832784,0.8351093928019205,0.8220976193745931
1,1,5400.0,1776706200000.0,2026-04-21T01:30:00+08:00,0.0625,0,1.5,0.3826834323650898,0.9238795325112867,1,0,location_rule,70.41328430175781,2,learned,-0.025049181655049324,1,neutral,83,78,78,1,0,0,0,1,0,0,0.6899441480636597,0.0,0.18156424164772034,0.005586592014878988,0.12290503084659576,0.841930091381073,0.7205131649971008,1.5286117792129517,1.643162230650584,1.3112794955571492,2.021200716495514,1.7731889247894288,1.7152478218078613,1.2097221493721009,1.9074374834696453,1.2846747636795044,1.0289427439371746,1.2641746997833252,1.0615450143814087,1.5176278352737427,1.7120194633801777,1.5872334043184917,1.8544596632321675,1.4850786685943604,1.5199086904525756,1.2056389093399047,1.790151874224345,1.3173394203186035,1.0248261292775471,1.2832536697387695,1.1061679124832153,1.062022089958191,1.2928940852483113,1.1455856362978618,1.4305846095085144,0.9859647750854492,0.8938961625099182,0.800601065158844,1.1992239157358806,1.1408938964207966,0.5039390623569489,1.6225016117095947,1.4009162187576294,1.090561866760254,1.4983079433441162,1.3098215659459431,1.602511723836263,1.125087523460388,1.0406574606895447,1.0969225645065308,1.4973796208699544,1.4090842405954997,0.8410968581835429,0.9127392768859863,0.9426347017288208,1.5395184755325317,1.522122214237849,1.9331951538721721,1.9755379160245259,0.7759910821914673,1.043365752696991,1.332242774963379,1.0512763261795044,1.0024791558583577,1.074454426765442
2,1,9000.0,1776709800000.0,2026-04-21T02:30:00+08:00,0.10416666666666667,0,2.5,0.6087614290087207,0.7933533402912352,1,0,location_rule,55.93842697143555,0,unlearned,0.14734677970409393,2,right_bias,24,23,23,1,0,0,0,0,0,1,0.9166666865348816,0.0,0.05277777835726738,0.0,0.03055555559694767,0.5387036204338074,0.447498083114624,1.594391107559204,1.5009870131810505,0.9899742404619852,1.7797411878903706,1.9832899808883666,1.7609749794006349,1.660386848449707,1.977242390314738,1.5368863344192505,1.5051275491714478,0.9463750123977661,0.8631401062011719,1.4235804080963135,1.3536526163419087,1.1761400600274403,1.43771630525589,1.2694627285003661,1.2007872819900514,1.4191150426864625,1.4751108090082805,1.3600072463353474,1.2867943445841472,1.7913845777511597,1.258080244064331,1.2922351360321045,1.5408690969149272,1.1961220304171245,0.8991975784301758,1.4163326978683473,1.0894392728805542,1.2601514101028441,1.7514293591181438,1.387772798538208,0.792276660601298,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7961381673812866,0.8112814426422119,1.154991865158081,1.6657110850016277,1.1061923404534657,1.4132006565729778,2.043111729621887,2.4765353202819824,1.2013821363449098,1.020298441251119,1.3268824815750122,1.0083715518315632
3,1,12600.0,1776713400000.0,2026-04-21T03:30:00+08:00,0.14583333333333334,0,3.5,0.7933533402912352,0.6087614290087207,1,0,location_rule,54.073177337646484,0,unlearned,0.044412266463041306,1,neutral,8,8,8,2,0,0,0,0,0,0,0.6083333492279053,0.0,0.3888888955116272,0.0027777778450399637,0.0,1.4983693361282349,1.1520757675170898,1.0655169486999512,1.2424099047978718,1.1034045020739238,1.0104247232278187,1.1471638917922973,1.0322662949562074,1.6331790924072265,1.5388482014338176,1.3305344184239705,1.90375550587972,0.9145845770835876,0.944171667098999,1.0137972831726074,0.9773546655972799,0.9655540188153585,1.0165449778238933,1.067806887626648,0.9666998982429504,1.8257410049438476,1.444974422454834,1.2545830408732097,2.2820029258728027,1.5830225944519043,1.1610915660858154,1.1363604068756104,1.5492376685142517,1.1202885309855144,0.8411294917265574,1.297167181968689,1.013776171207428,0.9325966238975525,1.5078746875127156,1.292458971341451,0.6836967468261719,2.2235116958618164,1.9788169860839844,1.0410687923431396,2.245433529218038,1.7486291527748108,0.8697201808293661,1.2719700336456299,1.198361301422119,1.475845742225647,2.2094622453053794,2.0993035634358725,1.0564728577931721,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,1,16200.0,1776717000000.0,2026-04-21T04:30:00+08:00,0.1875,0,4.5,0.9238795325112867,0.38268343236508984,1,0,location_rule,62.785560607910156,1,intermediate,-0.3674261271953583,0,left_bias,33,29,29,1,0,0,1,0,1,0,0.7833333611488342,0.0,0.16111111640930176,0.0,0.0555555559694767,0.7968572378158569,0.6304095983505249,1.2774685621261597,1.7341407338778179,1.1915309031804402,1.2962744235992432,2.6651142597198487,2.2499134063720705,1.9699355840682984,2.155508518218994,1.4554767608642578,1.616241733233134,0.9914917349815369,0.9254470467567444,1.1849836111068726,1.6988166173299153,1.4629573225975037,1.1436780293782551,1.9659737348556519,1.7571048736572266,1.422431182861328,1.7727846304575603,1.3437365690867107,1.0628480513890584,1.4572560787200928,1.0279889106750488,1.2825767993927002,1.6743616660435994,1.1603583693504333,1.2978119651476543,3.8998054027557374,1.8530768156051636,4.883974075317383,2.1775217851003013,1.4981002807617188,4.81415859858195,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7743202447891235,1.0165565013885498,0.8282949328422546,0.5073615461587906,0.728950579961141,0.6746422350406647,0.24073498845100402,0.5402509093284606,0.8245553970336914,0.5910980502764384,0.8601517677307129,0.8379571636517843
5,1,19800.0,1776720600000.0,2026-04-21T05:30:00+08:00,0.22916666666666666,0,5.5,0.9914448613738104,0.1305261922200517,1,0,location_rule,74.083251953125,2,learned,-0.5720710754394531,0,left_bias,27,26,26,1,0,0,0,1,1,0,0.7083333134651184,0.0,0.25,0.0,0.0416666679084301,1.0426702499389648,0.7577461004257202,1.2671226263046265,1.4756734172503154,1.085019479195277,1.5693335731824238,1.6191867113113403,1.8430875539779663,2.177619981765747,1.8599130312601726,1.5620224873224895,2.8886250654856362,1.2878656387329102,1.027754545211792,1.2028380632400513,1.4007406830787659,1.2453858653704326,1.4683727423350017,1.2975503206253052,1.4582697391510009,1.8507466554641723,1.6527697642644246,1.5165311495463054,2.3214755853017173,1.2885758876800537,0.9167978763580322,1.1719399690628052,1.3261560797691345,1.0094506243864696,1.0534791747728984,2.002292513847351,2.7054875612258913,2.9388107299804687,1.5026851495107014,1.349529465039571,4.663262685139974,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.9780948162078857,0.8264293670654297,1.3665130138397217,3.8756224314371743,1.1807800928751628,1.1868478854497273,2.829578733444214,2.1597004413604735,1.275699257850647,1.3045803705851238,1.1079943180084229,0.8023141622543335
6,1,23400.0,1776724200000.0,2026-04-21T06:30:00+08:00,0.2708333333333333,0,6.5,0.9914448613738104,-0.1305261922200516,0,0,location_rule,74.083251953125,2,learned,-0.5720710754394531,0,left_bias,0,0,0,3,0,0,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.2380712628364563,0.25071612000465393,1.1462769508361816,0.8825259407361349,0.7235839267571768,1.2151063183943431,1.5093270301818849,1.5410898923873901,1.3676253318786622,0.9846248825391134,0.981837252775828,0.8439115683237711,0.609136700630188,0.6456648707389832,0.99077969789505,0.7961960136890411,0.8686168789863586,0.9727345705032349,0.8931974411010742,0.9798080921173096,1.1168843269348145,0.6932607889175415,0.838085393110911,0.6840793887774149,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,1,27000.0,1776727800000.0,2026-04-21T07:30:00+08:00,0.3125,0,7.5,0.9238795325112868,-0.3826834323650895,0,0,location_rule,65.6046142578125,1,intermediate,-0.4092792868614197,0,left_bias,16,14,14,1,0,0,1,0,1,0,0.2916666567325592,0.0055555556900799274,0.6555555462837219,0.01666666753590107,0.03055555559694767,2.275346040725708,1.9667924642562866,0.971580445766449,1.2580858667691548,1.3822868863741558,0.784872700770696,0.5782005071640015,0.540657776594162,0.560243797302246,0.7919898827870687,1.0279985467592876,0.455688734849294,2.5175087451934814,2.204648494720459,1.027868390083313,1.256710151831309,1.306410809357961,0.8543068965276083,0.958381187915802,0.7492936611175537,0.7237045407295227,0.7667297522226969,0.8410522937774658,0.549081047375997,1.4420334100723267,1.258293628692627,1.1206815242767334,1.348796268304189,1.1664421757062275,1.063367486000061,1.2151000022888183,1.0155598521232605,0.5722445011138916,1.3712040185928345,1.2644659280776978,0.5022608538468679,0.8388421535491943,0.8646923899650574,1.151564359664917,0.7272805869579315,0.7361325522263845,0.9949620266755422,0.6372010588645936,0.739354932308197,0.7142537236213684,0.8717826008796692,0.8529176314671835,0.6956427296002706,0.9328940510749817,0.6910803914070129,0.9102239608764648,2.1609052419662476,1.0708841383457184,0.8045192460219065,5.666982173919678,2.7707918167114256,0.9069621324539184,3.5441411336263022,1.8092196782430012,0.7560214996337891
8,1,30600.0,1776731400000.0,2026-04-21T08:30:00+08:00,0.3541666666666667,0,8.5,0.7933533402912352,-0.6087614290087207,0,0,location_rule,63.516571044921875,1,intermediate,-0.3377465307712555,0,left_bias,37,33,33,1,0,0,1,0,1,0,0.550000011920929,0.0,0.3472222089767456,0.02500000037252903,0.07777778059244156,0.8941091895103455,0.9705927968025208,0.7933124899864197,0.6608086923758189,0.7603419423103333,0.7863722443580627,0.5661365032196045,0.5297747135162354,0.8527915477752686,0.5997864802678426,0.7150111595789591,1.0834755897521973,0.661425769329071,0.7087094783782959,0.6838225722312927,0.528136670589447,0.5635572274525961,0.6980880002180735,0.5587679505348205,0.5025368392467499,0.7569958090782165,0.5226608018080393,0.5931629538536072,1.1541340748469036,0.9993466138839722,1.0723165273666382,1.0278940200805664,0.9769619802633921,0.9857484996318817,1.2888476252555847,1.1070472717285156,0.8913394212722778,1.1204402208328248,1.0018524527549744,1.0029868682225545,0.9502478043238322,1.4748327732086182,1.6291157007217407,1.1213743686676025,1.2406476934750874,1.3770182927449544,1.296171893676122,1.0251800775527955,1.0717440128326416,1.7643283605575562,1.359740416208903,1.4185832341512044,2.017961104710897,1.010276198387146,1.3454980850219727,0.8135016560554504,0.5600771109263102,0.7692258854707082,0.6188651969035467,0.6913753151893616,0.576190733909607,0.7653377413749695,0.7521631717681885,0.939843475818634,0.7789493004480997
9,1,34200.0,1776735000000.0,2026-04-21T09:30:00+08:00,0.3958333333333333,0,9.5,0.6087614290087209,-0.793353340291235,0,0,location_rule,63.516571044921875,1,intermediate,-0.3377465307712555,0,left_bias,0,0,0,3,0,0,1,0,1,0,0.14166666567325592,0.0027777778450399637,0.8138889074325562,0.0416666679084301,0.0,1.7869062423706055,1.8612405061721802,0.7597992420196533,0.8322047094504038,1.2646409471829732,0.6954993307590485,0.0892443224787712,0.21049785614013672,1.6576996564865112,0.4434094528357188,0.7666301131248474,1.4221279223759968,1.6109062433242798,1.867801308631897,0.6686819195747375,0.3630991131067276,0.8463175694147745,0.6151927014191946,0.08531806915998459,0.13140884935855865,1.3517828941345216,0.20044339199860892,0.3316928545633952,1.2658637364705403,0.9836791157722473,1.0185396671295166,0.9537372589111328,0.9778104722499847,0.9862565398216248,1.0474577744801838,0.8398967027664185,0.8017789959907532,2.2214035034179687,0.9773861964543661,0.9805864294370016,1.9194826285044353,1.5057190656661987,1.5347439050674438,1.1001241207122803,1.3385294675827026,1.276287813981374,0.9827727278073629,1.1493090867996216,1.0548776626586913,3.1262009143829346,1.3978918393452961,1.4462027152379353,3.9957470893859863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
