hour_index,source_h5_index,source_h5,time_s,epoch_ms,iso_time,elapsed_day,day_index,zt_hour,circadian_sin,circadian_cos,is_dark,hour_valid,rule_code,rule_label,perf_pct,perf_state_code,perf_state_label,bias_score,bias_state_code,bias_state_label,trial_count,valid_perf_count,choice_count,behavior_fill_source,rule_frequency,rule_reversal_frequency,perf_intermediate,perf_learned,bias_left,bias_right,occ_wake,occ_miniwake,occ_nrem,occ_rem,occ_working,lfp_mos_delta_whole_slice_norm,lfp_mos_theta_whole_slice_norm,lfp_mos_gamma_whole_slice_norm,lfp_acad_delta_whole_slice_norm,lfp_acad_theta_whole_slice_norm,lfp_acad_gamma_whole_slice_norm,lfp_pl_delta_whole_slice_norm,lfp_pl_theta_whole_slice_norm,lfp_pl_gamma_whole_slice_norm,lfp_ila_delta_whole_slice_norm,lfp_ila_theta_whole_slice_norm,lfp_ila_gamma_whole_slice_norm,state_wake_mos_delta_whole_slice_norm,state_wake_mos_theta_whole_slice_norm,state_wake_mos_gamma_whole_slice_norm,state_wake_acad_delta_whole_slice_norm,state_wake_acad_theta_whole_slice_norm,state_wake_acad_gamma_whole_slice_norm,state_wake_pl_delta_whole_slice_norm,state_wake_pl_theta_whole_slice_norm,state_wake_pl_gamma_whole_slice_norm,state_wake_ila_delta_whole_slice_norm,state_wake_ila_theta_whole_slice_norm,state_wake_ila_gamma_whole_slice_norm,state_nrem_mos_delta_whole_slice_norm,state_nrem_mos_theta_whole_slice_norm,state_nrem_mos_gamma_whole_slice_norm,state_nrem_acad_delta_whole_slice_norm,state_nrem_acad_theta_whole_slice_norm,state_nrem_acad_gamma_whole_slice_norm,state_nrem_pl_delta_whole_slice_norm,state_nrem_pl_theta_whole_slice_norm,state_nrem_pl_gamma_whole_slice_norm,state_nrem_ila_delta_whole_slice_norm,state_nrem_ila_theta_whole_slice_norm,state_nrem_ila_gamma_whole_slice_norm,state_rem_mos_delta_whole_slice_norm,state_rem_mos_theta_whole_slice_norm,state_rem_mos_gamma_whole_slice_norm,state_rem_acad_delta_whole_slice_norm,state_rem_acad_theta_whole_slice_norm,state_rem_acad_gamma_whole_slice_norm,state_rem_pl_delta_whole_slice_norm,state_rem_pl_theta_whole_slice_norm,state_rem_pl_gamma_whole_slice_norm,state_rem_ila_delta_whole_slice_norm,state_rem_ila_theta_whole_slice_norm,state_rem_ila_gamma_whole_slice_norm,state_working_mos_delta_whole_slice_norm,state_working_mos_theta_whole_slice_norm,state_working_mos_gamma_whole_slice_norm,state_working_acad_delta_whole_slice_norm,state_working_acad_theta_whole_slice_norm,state_working_acad_gamma_whole_slice_norm,state_working_pl_delta_whole_slice_norm,state_working_pl_theta_whole_slice_norm,state_working_pl_gamma_whole_slice_norm,state_working_ila_delta_whole_slice_norm,state_working_ila_theta_whole_slice_norm,state_working_ila_gamma_whole_slice_norm
0,0,BW08_slice_001_2026-04-08_20260408-191522_slice_lfp_rhythm.h5,1800.0,1775648722665.0,2026-04-08T19:45:22.665000+08:00,0.020833333333333332,0,19.75611111111111,-0.8961639828960415,0.4437230169372594,1,1,2,reversal_frequency_rule,63.63494110107422,1,intermediate,-0.9367551207542419,0,left_bias,31,29,29,1,0,1,1,0,1,0,0.3333333432674408,0.002801120514050126,0.5210084319114685,0.12324929982423782,0.019607843831181526,0.8348416835309219,0.7467580467647496,0.7836857268666427,0.681048220260116,0.8930382941243221,0.560935511290207,0.05465840540252413,0.171329835624149,0.4835906010476624,0.2579852904962261,0.46511020062905634,0.42766237106342353,1.1801821620167499,1.06186478091893,0.6768258929215623,0.5432653509636621,0.9509763234328444,0.5570667782896533,0.03582626115649641,0.11118889217023928,0.5573939428635939,0.15632518705265017,0.30169147737906243,0.47525678221923084,0.6004089785493846,0.5185872590826534,0.9138212832545908,0.7772859938435005,0.7394266342789946,0.5715414326412059,0.5309843420170083,0.7463333028954748,0.39785945874978546,0.6251680179258018,0.6666895342581224,0.39778961164937404,0.6990913075680372,0.613327193365421,1.0075701720982826,0.9477859243980257,0.7803304746199461,0.6048434926900792,0.4766787749318758,0.7305354129603703,0.4560884514500172,0.6938280604534306,0.7060109202704249,0.4552002373802444,2.134678440456152,2.8257644114336014,1.0156375342410369,3.263821839138314,4.487412983140069,1.6332923231019674,0.6521722354248305,2.177877084338282,2.0827348684876137,0.7635326283797591,1.8126475704153233,0.9192564818403756
1,1,BW08_slice_001_2026-04-08_20260408-191522_slice_lfp_rhythm.h5,1800.0,1775648722665.0,2026-04-08T19:45:22.665000+08:00,0.020833333333333332,0,19.75611111111111,-0.8961639828960415,0.4437230169372594,1,1,2,reversal_frequency_rule,63.63494110107422,1,intermediate,-0.9367551207542419,0,left_bias,31,29,29,1,0,1,1,0,1,0,0.3333333432674408,0.002801120514050126,0.5210084319114685,0.12324929982423782,0.019607843831181526,0.8348416835309219,0.7467580467647496,0.7836857268666427,0.681048220260116,0.8930382941243221,0.560935511290207,0.05465840540252413,0.171329835624149,0.4835906010476624,0.2579852904962261,0.46511020062905634,0.42766237106342353,1.1801821620167499,1.06186478091893,0.6768258929215623,0.5432653509636621,0.9509763234328444,0.5570667782896533,0.03582626115649641,0.11118889217023928,0.5573939428635939,0.15632518705265017,0.30169147737906243,0.47525678221923084,0.6004089785493846,0.5185872590826534,0.9138212832545908,0.7772859938435005,0.7394266342789946,0.5715414326412059,0.5309843420170083,0.7463333028954748,0.39785945874978546,0.6251680179258018,0.6666895342581224,0.39778961164937404,0.6990913075680372,0.613327193365421,1.0075701720982826,0.9477859243980257,0.7803304746199461,0.6048434926900792,0.4766787749318758,0.7305354129603703,0.4560884514500172,0.6938280604534306,0.7060109202704249,0.4552002373802444,2.134678440456152,2.8257644114336014,1.0156375342410369,3.263821839138314,4.487412983140069,1.6332923231019674,0.6521722354248305,2.177877084338282,2.0827348684876137,0.7635326283797591,1.8126475704153233,0.9192564818403756
2,0,BW08_slice_001_2026-04-08_20260408-191522_slice_lfp_rhythm.h5,5400.0,1775652322665.0,2026-04-08T20:45:22.665000+08:00,0.0625,0,20.75611111111111,-0.7507839681356498,0.6605478280870262,1,1,2,reversal_frequency_rule,47.93516540527344,0,unlearned,-0.9017444849014282,0,left_bias,42,41,41,1,0,1,0,0,1,0,0.751396656036377,0.0,0.16201117634773254,0.002793296007439494,0.08379888534545898,0.7627547817994064,0.560353856570123,0.8415138444080105,1.8290726284397065,1.2330781892448786,0.8222397876750716,2.6167842660339224,2.911581093244397,1.0941134960279282,2.1035870868110833,1.579286156108321,1.004813919988304,1.224663492106092,0.9864037843124112,0.7646451912225075,1.7982771424432302,1.541431410857932,0.7839017776927099,1.9137343074519422,2.2345702795169724,1.2745761339126895,1.761686666588852,1.5428111199000396,1.0779184565311497,1.1247041125655102,0.71487934137698,0.9990321467906045,1.3485420666928467,0.9702832142083664,0.6437218357949126,2.711023805958766,2.0077300226470642,0.6170846744533198,1.3069234254075084,1.0329393591541967,0.5960472210088404,2.856316768669413,1.3782803776611527,1.1753705965324006,3.9763122634290653,1.759041457475001,0.7118382605734572,13.49871011119014,6.72748612993328,1.0643938892452849,3.8099803369099257,2.0378297197613775,1.1808343887552835,0.8499135264987777,0.6993934393394067,0.7094444070049682,1.4284541470059269,0.9324666510550849,0.4965300724916149,4.115300638324142,3.550569889045813,0.9971722158689769,1.8441266427400729,1.404507483098527,0.8768756784114792
3,1,BW08_slice_001_2026-04-08_20260408-191522_slice_lfp_rhythm.h5,5400.0,1775652322665.0,2026-04-08T20:45:22.665000+08:00,0.0625,0,20.75611111111111,-0.7507839681356498,0.6605478280870262,1,1,2,reversal_frequency_rule,47.93516540527344,0,unlearned,-0.9017444849014282,0,left_bias,42,41,41,1,0,1,0,0,1,0,0.751396656036377,0.0,0.16201117634773254,0.002793296007439494,0.08379888534545898,0.7627547817994064,0.560353856570123,0.8415138444080105,1.8290726284397065,1.2330781892448786,0.8222397876750716,2.6167842660339224,2.911581093244397,1.0941134960279282,2.1035870868110833,1.579286156108321,1.004813919988304,1.224663492106092,0.9864037843124112,0.7646451912225075,1.7982771424432302,1.541431410857932,0.7839017776927099,1.9137343074519422,2.2345702795169724,1.2745761339126895,1.761686666588852,1.5428111199000396,1.0779184565311497,1.1247041125655102,0.71487934137698,0.9990321467906045,1.3485420666928467,0.9702832142083664,0.6437218357949126,2.711023805958766,2.0077300226470642,0.6170846744533198,1.3069234254075084,1.0329393591541967,0.5960472210088404,2.856316768669413,1.3782803776611527,1.1753705965324006,3.9763122634290653,1.759041457475001,0.7118382605734572,13.49871011119014,6.72748612993328,1.0643938892452849,3.8099803369099257,2.0378297197613775,1.1808343887552835,0.8499135264987777,0.6993934393394067,0.7094444070049682,1.4284541470059269,0.9324666510550849,0.4965300724916149,4.115300638324142,3.550569889045813,0.9971722158689769,1.8441266427400729,1.404507483098527,0.8768756784114792
4,0,BW08_slice_001_2026-04-08_20260408-191522_slice_lfp_rhythm.h5,9000.0,1775655922665.0,2026-04-08T21:45:22.665000+08:00,0.10416666666666667,0,21.75611111111111,-0.5542392666759859,0.8323573963595599,1,1,2,reversal_frequency_rule,43.685997009277344,0,unlearned,-0.7918693423271179,0,left_bias,35,34,34,1,0,1,0,0,1,0,0.5181058645248413,0.002785515272989869,0.3955431878566742,0.027855154126882553,0.055710308253765106,1.0273906610022872,0.8690515208287984,0.7982325607715497,0.9273375177661666,0.9397316269819901,0.6064111546509331,0.5838118102535181,0.6657656572439226,0.5266246795936848,0.5801046745995507,0.6626305385928964,0.5177831489924057,1.2965798867626244,1.1252502086280936,0.6815198470791872,0.8198616057377436,0.9971403060667879,0.6179580533204819,0.5737382753117981,0.6209976108696819,0.7023759792958388,0.5330535033448603,0.5856863379151733,0.6264993687454851,0.8820457641741271,0.729709993655488,1.000263778459354,1.0303324376453582,0.88020916336232,0.6222244320363594,1.5059668979460326,1.3552624672879212,0.3373000486946161,0.829848084055422,0.7859685082960638,0.37876497328251885,2.005423838967096,1.4224598161401363,0.971671365183179,2.1212675742358442,1.4444286793254877,0.5885457644268898,2.4341337577197177,2.1302701247532054,0.29499031641853957,1.7365860870271366,1.4711824120829071,0.4246633782184221,2.1483251953107336,1.9722898378629539,0.7199859922126082,1.1837683273741282,1.4571809434219067,0.5634804555716667,0.40231710643595353,0.8051744495093329,0.8276058716644167,0.5806253797125316,0.9961642314668411,0.6024701405861149
5,1,BW08_slice_001_2026-04-08_20260408-191522_slice_lfp_rhythm.h5,9000.0,1775655922665.0,2026-04-08T21:45:22.665000+08:00,0.10416666666666667,0,21.75611111111111,-0.5542392666759859,0.8323573963595599,1,1,2,reversal_frequency_rule,43.685997009277344,0,unlearned,-0.7918693423271179,0,left_bias,35,34,34,1,0,1,0,0,1,0,0.5181058645248413,0.002785515272989869,0.3955431878566742,0.027855154126882553,0.055710308253765106,1.0273906610022872,0.8690515208287984,0.7982325607715497,0.9273375177661666,0.9397316269819901,0.6064111546509331,0.5838118102535181,0.6657656572439226,0.5266246795936848,0.5801046745995507,0.6626305385928964,0.5177831489924057,1.2965798867626244,1.1252502086280936,0.6815198470791872,0.8198616057377436,0.9971403060667879,0.6179580533204819,0.5737382753117981,0.6209976108696819,0.7023759792958388,0.5330535033448603,0.5856863379151733,0.6264993687454851,0.8820457641741271,0.729709993655488,1.000263778459354,1.0303324376453582,0.88020916336232,0.6222244320363594,1.5059668979460326,1.3552624672879212,0.3373000486946161,0.829848084055422,0.7859685082960638,0.37876497328251885,2.005423838967096,1.4224598161401363,0.971671365183179,2.1212675742358442,1.4444286793254877,0.5885457644268898,2.4341337577197177,2.1302701247532054,0.29499031641853957,1.7365860870271366,1.4711824120829071,0.4246633782184221,2.1483251953107336,1.9722898378629539,0.7199859922126082,1.1837683273741282,1.4571809434219067,0.5634804555716667,0.40231710643595353,0.8051744495093329,0.8276058716644167,0.5806253797125316,0.9961642314668411,0.6024701405861149
6,0,BW08_slice_001_2026-04-08_20260408-191522_slice_lfp_rhythm.h5,12600.0,1775659522665.0,2026-04-08T22:45:22.665000+08:00,0.14583333333333334,0,22.75611111111111,-0.31992407511604676,0.9474431836058256,1,1,2,reversal_frequency_rule,48.515228271484375,0,unlearned,-0.8719959259033203,0,left_bias,69,67,67,1,0,1,0,0,1,0,0.9166666865348816,0.0,0.0,0.0,0.0833333358168602,0.18604700534908994,0.18767337112011684,0.7295818566526179,0.8600586584493336,0.5405508044237929,0.7493310022809863,1.2524960349624454,1.0046170585111027,0.7454199121080001,0.9581564089218282,0.6345015555602616,0.7400613122890084,0.44981871067603363,0.43918596081028594,0.6521840908556092,0.7235730927396395,0.6101976220972649,0.6420418918920276,0.7128830504545295,0.6158615871987162,0.7646973140236806,0.6491604959419207,0.5397099505591388,0.7022536070700326,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.1602775257708955,0.8041282631974465,0.7607738888886354,3.0849499324000127,1.188357956040015,0.6744045802768449,10.373607572333347,4.510881622645952,1.4354366016961817,4.303204772128896,2.0397334588037763,0.9725359095890848
7,1,BW08_slice_001_2026-04-08_20260408-191522_slice_lfp_rhythm.h5,12600.0,1775659522665.0,2026-04-08T22:45:22.665000+08:00,0.14583333333333334,0,22.75611111111111,-0.31992407511604676,0.9474431836058256,1,1,2,reversal_frequency_rule,48.515228271484375,0,unlearned,-0.8719959259033203,0,left_bias,69,67,67,1,0,1,0,0,1,0,0.9166666865348816,0.0,0.0,0.0,0.0833333358168602,0.18604700534908994,0.18767337112011684,0.7295818566526179,0.8600586584493336,0.5405508044237929,0.7493310022809863,1.2524960349624454,1.0046170585111027,0.7454199121080001,0.9581564089218282,0.6345015555602616,0.7400613122890084,0.44981871067603363,0.43918596081028594,0.6521840908556092,0.7235730927396395,0.6101976220972649,0.6420418918920276,0.7128830504545295,0.6158615871987162,0.7646973140236806,0.6491604959419207,0.5397099505591388,0.7022536070700326,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.1602775257708955,0.8041282631974465,0.7607738888886354,3.0849499324000127,1.188357956040015,0.6744045802768449,10.373607572333347,4.510881622645952,1.4354366016961817,4.303204772128896,2.0397334588037763,0.9725359095890848
8,0,BW08_slice_001_2026-04-08_20260408-191522_slice_lfp_rhythm.h5,16200.0,1775663122665.0,2026-04-08T23:45:22.665000+08:00,0.1875,0,23.75611111111111,-0.0638065865364817,0.9979622836132448,1,1,2,reversal_frequency_rule,52.841644287109375,0,unlearned,-0.7363831400871277,0,left_bias,6,6,6,2,0,1,0,0,1,0,0.4830188751220703,0.0,0.4679245352745056,0.049056604504585266,0.0,1.7238978971871532,1.1925411941776642,0.943826023187858,2.2556827726799917,1.5712091652724078,0.8259314495050222,2.900631904461096,2.788468814580306,2.518508103835837,2.1823785027425298,1.5417108334556244,2.631243167529572,2.1259447419397786,1.695704574964402,0.7849336126231357,2.697400877458619,2.039195789624524,0.73124908732364,3.0769446966978222,3.0079969755261398,1.9413424111914992,2.4122476828069632,1.7333028637303636,1.897364545280877,1.320226435642926,0.8789086587752202,1.187768451957388,1.3925110976689226,1.090151480912058,1.086798140056245,2.015424220396414,1.8300940138239306,2.9455933560929823,1.355958406524234,1.1254632228252273,3.4748006743022786,3.6011713325538226,1.4676537574320392,1.1645710346955578,3.820039942077644,1.8398343860789996,0.9773301147233663,10.284798653920541,6.563459939018396,2.3714992670330624,4.57705726728774,2.5120454288848126,2.3116230853914765,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,1,BW08_slice_001_2026-04-08_20260408-191522_slice_lfp_rhythm.h5,16200.0,1775663122665.0,2026-04-08T23:45:22.665000+08:00,0.1875,0,23.75611111111111,-0.0638065865364817,0.9979622836132448,1,1,2,reversal_frequency_rule,52.841644287109375,0,unlearned,-0.7363831400871277,0,left_bias,6,6,6,2,0,1,0,0,1,0,0.4830188751220703,0.0,0.4679245352745056,0.049056604504585266,0.0,1.7238978971871532,1.1925411941776642,0.943826023187858,2.2556827726799917,1.5712091652724078,0.8259314495050222,2.900631904461096,2.788468814580306,2.518508103835837,2.1823785027425298,1.5417108334556244,2.631243167529572,2.1259447419397786,1.695704574964402,0.7849336126231357,2.697400877458619,2.039195789624524,0.73124908732364,3.0769446966978222,3.0079969755261398,1.9413424111914992,2.4122476828069632,1.7333028637303636,1.897364545280877,1.320226435642926,0.8789086587752202,1.187768451957388,1.3925110976689226,1.090151480912058,1.086798140056245,2.015424220396414,1.8300940138239306,2.9455933560929823,1.355958406524234,1.1254632228252273,3.4748006743022786,3.6011713325538226,1.4676537574320392,1.1645710346955578,3.820039942077644,1.8398343860789996,0.9773301147233663,10.284798653920541,6.563459939018396,2.3714992670330624,4.57705726728774,2.5120454288848126,2.3116230853914765,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
