hour_index,lfp_hour_valid,time_s,epoch_ms,iso_time,elapsed_day,day_index,zt_hour,circadian_sin,circadian_cos,is_dark,rule_code,rule_label,perf_pct,perf_state_code,perf_state_label,bias_score,bias_state_code,bias_state_label,trial_count,valid_perf_count,choice_count,behavior_fill_source,rule_frequency,rule_reversal_frequency,perf_intermediate,perf_learned,bias_left,bias_right,occ_wake,occ_miniwake,occ_nrem,occ_rem,occ_working,lfp_mos_delta_norm,lfp_mos_theta_norm,lfp_mos_gamma_norm,lfp_acad_delta_norm,lfp_acad_theta_norm,lfp_acad_gamma_norm,lfp_pl_delta_norm,lfp_pl_theta_norm,lfp_pl_gamma_norm,lfp_ila_delta_norm,lfp_ila_theta_norm,lfp_ila_gamma_norm,state_wake_mos_delta_norm,state_wake_mos_theta_norm,state_wake_mos_gamma_norm,state_wake_acad_delta_norm,state_wake_acad_theta_norm,state_wake_acad_gamma_norm,state_wake_pl_delta_norm,state_wake_pl_theta_norm,state_wake_pl_gamma_norm,state_wake_ila_delta_norm,state_wake_ila_theta_norm,state_wake_ila_gamma_norm,state_miniwake_mos_delta_norm,state_miniwake_mos_theta_norm,state_miniwake_mos_gamma_norm,state_miniwake_acad_delta_norm,state_miniwake_acad_theta_norm,state_miniwake_acad_gamma_norm,state_miniwake_pl_delta_norm,state_miniwake_pl_theta_norm,state_miniwake_pl_gamma_norm,state_miniwake_ila_delta_norm,state_miniwake_ila_theta_norm,state_miniwake_ila_gamma_norm,state_nrem_mos_delta_norm,state_nrem_mos_theta_norm,state_nrem_mos_gamma_norm,state_nrem_acad_delta_norm,state_nrem_acad_theta_norm,state_nrem_acad_gamma_norm,state_nrem_pl_delta_norm,state_nrem_pl_theta_norm,state_nrem_pl_gamma_norm,state_nrem_ila_delta_norm,state_nrem_ila_theta_norm,state_nrem_ila_gamma_norm,state_rem_mos_delta_norm,state_rem_mos_theta_norm,state_rem_mos_gamma_norm,state_rem_acad_delta_norm,state_rem_acad_theta_norm,state_rem_acad_gamma_norm,state_rem_pl_delta_norm,state_rem_pl_theta_norm,state_rem_pl_gamma_norm,state_rem_ila_delta_norm,state_rem_ila_theta_norm,state_rem_ila_gamma_norm
0,1,1800.0,1776270600000.0,2026-04-16T00:30:00+08:00,0.020833333333333332,0,0.5,0.13052619222005157,0.9914448613738104,1,2,reversal_frequency_rule,67.84092712402344,1,intermediate,0.12054837495088577,2,right_bias,0,0,0,3,0,1,1,0,0,1,0.6638176441192627,0.005698005668818951,0.31908831000328064,0.011396011337637901,0.0,1.0510575771331787,0.957422137260437,1.1986452341079712,1.3279195229212444,1.2523911992708843,1.296677013238271,1.7289180994033813,1.5328692674636841,1.3749695301055909,1.3255000114440918,1.0704444249471028,1.397357662518819,1.4370357990264893,1.3154206275939941,1.2644859552383423,1.2767282724380493,1.36244535446167,1.2443270583947499,1.4205106973648072,1.2937501907348632,1.2708503246307372,1.1445868015289307,0.9549362858136495,1.2206571499506633,1.0056449174880981,0.9087088704109192,1.0149434804916382,1.1679079135258992,1.1075464288393657,1.3319118519624074,1.8891949892044066,1.3307072877883912,1.450281286239624,1.3130482037862141,1.1052208344141643,1.650473952293396,0.8399706482887268,0.5939080119132996,1.0001612901687622,0.7523607214291891,0.6310412387053171,1.0951421360174816,0.31646670699119567,0.5982515096664429,0.5308047115802765,0.7867380976676941,0.6318768461545309,1.4718348185221355,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,1,5400.0,1776274200000.0,2026-04-16T01:30:00+08:00,0.0625,0,1.5,0.3826834323650898,0.9238795325112867,1,2,reversal_frequency_rule,67.84092712402344,1,intermediate,0.12054837495088577,2,right_bias,0,0,0,3,0,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,0.3463325798511505,0.279977947473526,1.084198236465454,1.462393542130788,0.9009611010551453,1.411671390136083,1.983539867401123,2.148678731918335,1.2889322519302369,1.951898177464803,1.4396769205729167,0.8913127581278483,0.8469603657722473,0.6524920463562012,1.0164352655410767,1.229891022046407,1.0241296390692394,1.1311854521433513,1.103514051437378,1.2718601465225219,1.1657098531723022,1.3214320341746013,1.2236286004384358,0.9457575877507528,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,1,9000.0,1776277800000.0,2026-04-16T02:30:00+08:00,0.10416666666666667,0,2.5,0.6087614290087207,0.7933533402912352,1,2,reversal_frequency_rule,67.84092712402344,1,intermediate,0.12054837495088577,2,right_bias,0,0,0,3,0,1,1,0,0,1,0.6527777910232544,0.0,0.3444444537162781,0.0027777778450399637,0.0,1.574568510055542,1.083379864692688,1.426277756690979,1.936813195546468,1.6835137009620667,1.5272479057312012,1.9272874116897583,2.345172309875488,1.310311770439148,2.042877276738485,1.9065372943878174,1.287929614384969,1.6321228742599487,1.3224689960479736,1.5359430313110352,1.77061128616333,1.971242884794871,1.6127138137817383,1.5837584733963013,2.0181018114089966,1.2668111324310303,1.7624000310897827,1.8786403338114421,1.2434232632319133,1.664952278137207,1.0713924169540405,1.1369004249572754,1.7697340250015259,1.180674433708191,0.7651510536670685,2.188762140274048,1.5316145896911622,1.196485733985901,1.9333298206329346,1.4543007612228394,1.309956471125285,0.6178727746009827,0.8213589787483215,1.0804328918457031,0.6878207127253214,0.8334742585817972,0.6039548168579737,1.0900917172431945,1.4453630685806274,0.8459189534187317,0.9587917327880859,1.0314394632975261,0.5350102682908376,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,1,12600.0,1776281400000.0,2026-04-16T03:30:00+08:00,0.14583333333333334,0,3.5,0.7933533402912352,0.6087614290087207,1,2,reversal_frequency_rule,67.84092712402344,1,intermediate,0.12054837495088577,2,right_bias,0,0,0,3,0,1,1,0,0,1,0.6916666626930237,0.0027777778450399637,0.2944444417953491,0.011111111380159855,0.0,1.371484637260437,1.1416950225830078,1.213171362876892,1.580995003382365,1.1979095737139385,1.217255602280299,2.2300790786743163,2.0940691471099853,1.098333716392517,1.8616174062093098,1.4930297136306763,0.7707900206247965,1.422620415687561,1.19078528881073,1.1880028247833252,1.4963568051656086,1.3086947401364644,1.1908089617888133,1.7652398347854614,1.723021149635315,1.1907817363739013,1.6104135115941365,1.4039782285690308,1.0179379383722942,1.6183993816375732,1.3419749736785889,1.183263897895813,1.3797392050425212,1.1562385161717732,0.9408087531725565,1.291752076148987,1.1548246383666991,0.655323600769043,1.4183084567387898,1.2581775983174641,0.3050972670316696,1.8083181381225586,1.6049907207489014,1.911041498184204,1.2616695761680603,1.2583481073379517,1.0668465693791707,0.6847272872924804,1.0685925960540772,0.45024545192718507,1.17602535088857,1.7448876698811848,0.36045437554518384,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,1,16200.0,1776285000000.0,2026-04-16T04:30:00+08:00,0.1875,0,4.5,0.9238795325112867,0.38268343236508984,1,2,reversal_frequency_rule,67.84092712402344,1,intermediate,0.12054837495088577,2,right_bias,0,0,0,3,0,1,1,0,0,1,0.7416666746139526,0.0027777778450399637,0.24722221493721008,0.008333333767950535,0.0,0.8989458084106445,0.9522438645362854,1.0183998346328735,1.0749197800954182,0.9291998147964478,1.1641649107138317,1.422803568840027,1.2763572454452514,0.9617374181747437,1.2357312440872192,1.1475143035252888,0.6529695391654968,0.9672961831092834,1.0600405931472778,0.9642413854598999,0.9567999144395193,0.9282657504081726,1.0954584181308746,1.052781915664673,0.9771193265914917,1.0060205817222596,1.0046395858128865,1.0294384956359863,0.8207202355066935,1.20702064037323,1.2547625303268433,1.097167730331421,1.052202622095744,1.0377675394217174,0.830090194940567,0.8201130867004395,0.8795178055763244,0.5558330178260803,1.0644309123357136,1.0800842841466267,0.26491140325864154,1.452562689781189,1.5522379875183105,1.0869704484939575,1.3304509123166401,1.181459943453471,0.6163599888483683,0.8479381918907165,1.042157781124115,0.8374865651130676,1.217090408007304,1.4015323321024578,0.43243932723999023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,1,19800.0,1776288600000.0,2026-04-16T05:30:00+08:00,0.22916666666666666,0,5.5,0.9914448613738104,0.1305261922200517,1,2,reversal_frequency_rule,67.84092712402344,1,intermediate,0.12054837495088577,2,right_bias,0,0,0,3,0,1,1,0,0,1,0.7722222208976746,0.0027777778450399637,0.21111111342906952,0.013888888992369175,0.0,0.9240241050720215,0.8678179979324341,0.9352186918258667,1.125035673379898,0.7581125497817993,0.9051983654499054,1.5291213274002076,1.0080872535705567,1.3885770559310913,1.4098482926686604,1.0840900739034016,2.144366900126139,0.7734004259109497,0.7750107645988464,0.8323015570640564,0.957724372545878,0.638746311267217,0.7610253592332205,1.0861741542816161,0.7281567573547363,0.7932114243507385,1.1016712188720703,0.8949845830599467,0.9763832688331604,1.5699039697647095,1.4375898838043213,1.2249152660369873,1.30625319480896,1.2068960467974346,1.2506862183411915,1.0487093329429626,1.1220959663391112,3.2665905475616457,1.3996217648188274,1.3629521131515503,5.4479343096415205,2.0380375385284424,1.5462024211883545,1.0954681634902954,1.4935330351193745,1.4337531526883442,1.1389469901720684,1.1636002779006958,1.368191409111023,4.3569926738739015,2.2441012859344482,1.6025209029515584,7.496209144592285,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,1,23400.0,1776292200000.0,2026-04-16T06:30:00+08:00,0.2708333333333333,0,6.5,0.9914448613738104,-0.1305261922200516,0,2,reversal_frequency_rule,67.84092712402344,1,intermediate,0.12054837495088577,2,right_bias,0,0,0,3,0,1,1,0,0,1,0.2888889014720917,0.0,0.7111111283302307,0.0,0.0,1.9900833368301392,1.7088111639022827,0.9254218339920044,0.862494965394338,1.1270132660865784,0.8873507082462311,0.2748855710029602,0.293420147895813,2.1543970346450805,0.6678374210993449,0.8654403487841288,3.79529603322347,1.052756428718567,1.1946152448654175,0.8732848167419434,0.46880370875199634,0.7165351808071136,0.8718067407608032,0.4107132077217102,0.2805279612541199,1.6509372234344482,0.5028368135293325,0.41380347808202106,2.788266102472941,1.3223696947097778,1.1397240161895752,1.02035653591156,1.150316099325816,1.058331459760666,1.1432761351267497,0.9489695429801941,0.9706331133842468,2.4008445739746094,1.2648156086603801,1.1221193075180054,3.679380019505819,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,1,27000.0,1776295800000.0,2026-04-16T07:30:00+08:00,0.3125,0,7.5,0.9238795325112868,-0.3826834323650895,0,2,reversal_frequency_rule,67.84092712402344,1,intermediate,0.12054837495088577,2,right_bias,0,0,0,3,0,1,1,0,0,1,0.8277778029441833,0.0,0.16944444179534912,0.0027777778450399637,0.0,0.7801125049591064,0.6532957553863525,1.0124878883361816,1.2953858574231465,1.0666237473487854,1.0344221790631611,1.837810492515564,2.0972468852996826,0.9784083366394043,1.5667369763056438,1.4942726691563923,0.7206295927365621,1.0610569715499878,0.967858076095581,0.9780274629592896,1.133320391178131,1.1866334676742554,0.9405076801776886,1.203771948814392,1.4382182121276856,0.992224931716919,1.1728909810384114,1.333332101504008,0.8503878911336263,1.2503529787063599,0.9451270699501038,0.9605220556259155,1.3443950017293294,1.1382202208042145,1.0735316276550293,2.9644381999969482,2.2413118839263917,0.4331750273704529,1.5094953378041585,1.2252524693806965,0.2828892221053441,0.34492555260658264,0.401648610830307,0.7122759222984314,0.808247447013855,0.34833408892154694,0.5326346705357233,5.410171413421631,2.5814081192016602,0.4720678389072418,1.700096885363261,0.8523656924565634,0.4183321495850881,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,1,30600.0,1776299400000.0,2026-04-16T08:30:00+08:00,0.3541666666666667,0,8.5,0.7933533402912352,-0.6087614290087207,0,2,reversal_frequency_rule,67.84092712402344,1,intermediate,0.12054837495088577,2,right_bias,0,0,0,3,0,1,1,0,0,1,0.16388888657093048,0.0,0.7805555462837219,0.0555555559694767,0.0,1.7995182275772095,1.5553685426712036,0.8636826276779175,0.8810139000415802,1.1448037425676982,0.7772520184516907,0.2147214710712433,0.3668073773384094,0.9517971515655518,0.5655411183834076,0.8850095073382059,0.6217197179794312,1.8670718669891357,1.7084009647369385,0.8539173603057861,0.6340098281701406,0.9995321929454803,0.6697016060352325,0.4473439812660217,0.5188068807125091,0.8449128031730652,0.5178793867429098,0.5824675361315409,0.662894050280253,1.0570013523101807,0.922198474407196,0.9451107382774353,1.0989861885706584,0.9577974279721578,1.1061002413431804,1.1340301513671875,1.1996180057525634,0.9938122034072876,1.0760791301727295,1.0542421340942383,0.5508852005004883,1.07321035861969,0.8749507069587708,0.9828878045082092,0.994325985511144,0.9134151041507721,0.9233047664165497,0.5934924960136414,0.8421669960021972,1.4368040323257447,1.0041048924128215,0.9577860236167908,0.48389753699302673,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,1,34200.0,1776303000000.0,2026-04-16T09:30:00+08:00,0.3958333333333333,0,9.5,0.6087614290087209,-0.793353340291235,0,2,reversal_frequency_rule,67.84092712402344,1,intermediate,0.12054837495088577,2,right_bias,0,0,0,3,0,1,1,0,0,1,0.4749999940395355,0.0,0.5249999761581421,0.0,0.0,1.1797395944595337,1.1199690103530884,0.8832868337631226,0.9241146047910055,0.9572763741016388,0.782323012749354,0.7548628568649292,0.7363568663597106,0.7707107186317443,0.7886666655540466,0.8910785714785258,0.5391136010487875,1.0608464479446411,0.8331239223480225,0.8573850989341736,0.8671847283840179,0.8404222826162974,0.763582319021225,0.8312748432159424,0.7740831255912781,0.8974587559700012,0.7691947221755981,0.7491820454597473,0.8632951180140177,0.9380587339401245,0.9432948231697083,0.944938600063324,0.9959257046381632,0.9598592718442281,0.9824610650539398,0.8659577250480652,0.9455583333969116,0.5986694455146789,0.9307782451311747,0.9896154403686523,0.24829025069872537,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
