target,test_family,behavior_variable,behavior_label,n_obs,spearman_r,effect_size,permutation_p,fdr_q,effect_sign,analysis_family,target_class,natural_state,natural_state_token,channel_group,channel_group_token,band,band_token,feature_scope
state_wake_pl_gamma_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,0.16416560143617237,0.16416560143617237,0.0001556874591896598,0.0009341247551379588,positive,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,PL,pl,gamma,gamma,whole_slice_norm
state_nrem_ila_delta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,468,-0.1730402578000277,0.1730402578000277,0.00016866963716227626,0.0009638264980701501,negative,direct_lfp_continuous_behavior_association,state_lfp,NREM,nrem,ILA,ila,delta,delta,whole_slice_norm
state_working_acad_delta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,204,-0.25286257923336597,0.25286257923336597,0.000263380400620668,0.0014366203670218255,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,ACAd,acad,delta,delta,whole_slice_norm
state_working_acad_delta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,204,-0.2488818270747692,0.2488818270747692,0.00033125090300893466,0.0017282655809161807,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,ACAd,acad,delta,delta,whole_slice_norm
state_working_pl_gamma_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,204,-0.2367360094090506,0.2367360094090506,0.0006518260249798497,0.0032591301248992483,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,PL,pl,gamma,gamma,whole_slice_norm
state_working_mos_gamma_whole_slice_norm,bias_score_spearman,bias_score,Bias score,204,-0.23386353484006314,0.23386353484006314,0.0007612286388472862,0.0036538974664669737,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,MOs,mos,gamma,gamma,whole_slice_norm
state_wake_pl_gamma_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,-0.14581640828478706,0.14581640828478706,0.0007958256689650041,0.0036730415490692494,negative,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,PL,pl,gamma,gamma,whole_slice_norm
state_nrem_acad_delta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,468,-0.15302606562617602,0.15302606562617602,0.0008963511728905803,0.003983782990624802,negative,direct_lfp_continuous_behavior_association,state_lfp,NREM,nrem,ACAd,acad,delta,delta,whole_slice_norm
state_working_acad_gamma_whole_slice_norm,bias_score_spearman,bias_score,Bias score,204,-0.2299393274564464,0.2299393274564464,0.0009381276520867898,0.004020547080371957,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,ACAd,acad,gamma,gamma,whole_slice_norm
state_wake_mos_delta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,-0.13871616585917732,0.13871616585917732,0.0014263003408286497,0.005622862240268111,negative,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,MOs,mos,delta,delta,whole_slice_norm
state_wake_ila_theta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,-0.13860235348930158,0.13860235348930158,0.001439393320019164,0.005622862240268111,negative,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,ILA,ila,theta,theta,whole_slice_norm
state_rem_ila_delta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,350,-0.1695642473053348,0.1695642473053348,0.0014525727454025954,0.005622862240268111,negative,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,ILA,ila,delta,delta,whole_slice_norm
