target,test_family,behavior_variable,behavior_label,n_obs,spearman_r,effect_size,permutation_p,fdr_q,effect_sign,analysis_family,target_class,natural_state,natural_state_token,channel_group,channel_group_token,band,band_token,feature_scope
state_nrem_pl_delta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,468,0.025597238924742423,0.025597238924742423,0.5806999521973946,0.7038787299362359,positive,direct_lfp_continuous_behavior_association,state_lfp,NREM,nrem,PL,pl,delta,delta,whole_slice_norm
state_rem_acad_gamma_whole_slice_norm,bias_score_spearman,bias_score,Bias score,350,0.028132295934043844,0.028132295934043844,0.5999112602365924,0.7198935122839109,positive,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,ACAd,acad,gamma,gamma,whole_slice_norm
state_nrem_pl_delta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,468,0.02125632640064382,0.02125632640064382,0.6464734984290703,0.7680873248662221,positive,direct_lfp_continuous_behavior_association,state_lfp,NREM,nrem,PL,pl,delta,delta,whole_slice_norm
state_nrem_mos_delta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,468,-0.020422616399252417,0.020422616399252417,0.6594495946099026,0.7697675248511303,negative,direct_lfp_continuous_behavior_association,state_lfp,NREM,nrem,MOs,mos,delta,delta,whole_slice_norm
lfp_acad_delta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,-0.019181837851577618,0.019181837851577618,0.6607171254972202,0.7697675248511303,negative,direct_lfp_continuous_behavior_association,global_lfp,global,global,ACAd,acad,delta,delta,whole_slice_norm
state_nrem_pl_theta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,468,0.018859644334846177,0.018859644334846177,0.6840508753314273,0.7892894715362622,positive,direct_lfp_continuous_behavior_association,state_lfp,NREM,nrem,PL,pl,theta,theta,whole_slice_norm
state_nrem_pl_theta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,468,-0.015893884936638108,0.015893884936638108,0.7316440002702218,0.8305163242611489,negative,direct_lfp_continuous_behavior_association,state_lfp,NREM,nrem,PL,pl,theta,theta,whole_slice_norm
state_wake_mos_gamma_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,0.014872802560804272,0.014872802560804272,0.7336227530973481,0.8305163242611489,positive,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,MOs,mos,gamma,gamma,whole_slice_norm
state_wake_acad_delta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,0.012866735832646815,0.012866735832646815,0.7684486415089198,0.8610131993720089,positive,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,ACAd,acad,delta,delta,whole_slice_norm
state_nrem_mos_gamma_whole_slice_norm,bias_score_spearman,bias_score,Bias score,468,-0.013253178763691637,0.013253178763691637,0.774911879434808,0.8610131993720089,negative,direct_lfp_continuous_behavior_association,state_lfp,NREM,nrem,MOs,mos,gamma,gamma,whole_slice_norm
state_working_mos_theta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,204,-0.017410136216362927,0.017410136216362927,0.8047865567084195,0.8860035486698196,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,MOs,mos,theta,theta,whole_slice_norm
state_rem_acad_theta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,350,0.008271372069935426,0.008271372069935426,0.8774581329420897,0.9420057960152021,positive,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,ACAd,acad,theta,theta,whole_slice_norm
state_rem_ila_gamma_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,350,-0.008104511192813793,0.008104511192813793,0.8799113432544883,0.9420057960152021,negative,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,ILA,ila,gamma,gamma,whole_slice_norm
state_rem_acad_delta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,350,0.008035079149984657,0.008035079149984657,0.8809324817950848,0.9420057960152021,positive,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,ACAd,acad,delta,delta,whole_slice_norm
lfp_pl_delta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,0.0062075575766714144,0.0062075575766714144,0.8870554579143153,0.9420057960152021,positive,direct_lfp_continuous_behavior_association,global_lfp,global,global,PL,pl,delta,delta,whole_slice_norm
state_rem_ila_delta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,350,-0.006526612025938757,0.006526612025938757,0.9031633588057992,0.9506982724271571,negative,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,ILA,ila,delta,delta,whole_slice_norm
state_rem_mos_delta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,350,0.005621755725842924,0.005621755725842924,0.9165360898274986,0.9563854850373897,positive,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,MOs,mos,delta,delta,whole_slice_norm
state_wake_mos_theta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,0.003248765850829573,0.003248765850829573,0.9407459180586915,0.9657259667485355,positive,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,MOs,mos,theta,theta,whole_slice_norm
lfp_mos_gamma_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,-0.0030119041651171814,0.0030119041651171814,0.9450589439162549,0.9657259667485355,negative,direct_lfp_continuous_behavior_association,global_lfp,global,global,MOs,mos,gamma,gamma,whole_slice_norm
state_rem_mos_delta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,350,0.003388731638725236,0.003388731638725236,0.9496305339693933,0.9657259667485355,positive,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,MOs,mos,delta,delta,whole_slice_norm
state_nrem_pl_gamma_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,468,0.0020411843741931068,0.0020411843741931068,0.9648728956551095,0.9729810712488499,positive,direct_lfp_continuous_behavior_association,state_lfp,NREM,nrem,PL,pl,gamma,gamma,whole_slice_norm
state_wake_acad_delta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,0.000708935602501295,0.000708935602501295,0.9870584498019578,0.9870584498019578,positive,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,ACAd,acad,delta,delta,whole_slice_norm
